"filename", "language", "JavaScript", "SCSS", "comment", "blank", "total"
"d:\Code\PythonMassScanner\WebAppp\frontend\pages\_app.js", "JavaScript", 4, 0, 0, 1, 5
"d:\Code\PythonMassScanner\WebAppp\frontend\pages\index.js", "JavaScript", 33, 0, 0, 5, 38
"d:\Code\PythonMassScanner\WebAppp\frontend\pages\index.module.scss", "SCSS", 0, 23, 0, 3, 26
"d:\Code\PythonMassScanner\WebAppp\frontend\pages\posts\first-post.js", "JavaScript", 27, 0, 0, 1, 28
"d:\Code\PythonMassScanner\WebAppp\frontend\pages\scanner.js", "JavaScript", 144, 0, 1, 13, 158
"d:\Code\PythonMassScanner\WebAppp\frontend\pages\scanner.module.scss", "SCSS", 0, 119, 6, 22, 147
"Total", "-", 208, 142, 7, 45, 402
