"filename", "language", "SCSS", "JavaScript", "comment", "blank", "total"
"d:\Code\PythonMassScanner\WebAppp\frontend\components\coolButton.js", "JavaScript", 0, 35, 0, 5, 40
"d:\Code\PythonMassScanner\WebAppp\frontend\components\coolButton.module.scss", "SCSS", 13, 0, 0, 3, 16
"d:\Code\PythonMassScanner\WebAppp\frontend\components\displayPreviews.js", "JavaScript", 0, 54, 10, 6, 70
"d:\Code\PythonMassScanner\WebAppp\frontend\components\displayPreviews.module.scss", "SCSS", 6, 0, 3, 1, 10
"d:\Code\PythonMassScanner\WebAppp\frontend\components\imageManipulator.js", "JavaScript", 0, 260, 12, 47, 319
"d:\Code\PythonMassScanner\WebAppp\frontend\components\imageManipulator.module.scss", "SCSS", 18, 0, 0, 3, 21
"d:\Code\PythonMassScanner\WebAppp\frontend\components\layout.js", "JavaScript", 0, 67, 0, 2, 69
"d:\Code\PythonMassScanner\WebAppp\frontend\components\layout.module.scss", "SCSS", 13, 0, 0, 2, 15
"d:\Code\PythonMassScanner\WebAppp\frontend\components\openCVprocessing.js", "JavaScript", 0, 83, 8, 30, 121
"d:\Code\PythonMassScanner\WebAppp\frontend\components\svgImageAnnotations.js", "JavaScript", 0, 65, 0, 4, 69
"d:\Code\PythonMassScanner\WebAppp\frontend\components\svgImageAnnotations.module.scss", "SCSS", 28, 0, 0, 5, 33
"d:\Code\PythonMassScanner\WebAppp\frontend\pages\_app.js", "JavaScript", 0, -4, 0, -1, -5
"d:\Code\PythonMassScanner\WebAppp\frontend\pages\index.js", "JavaScript", 0, -33, 0, -5, -38
"d:\Code\PythonMassScanner\WebAppp\frontend\pages\index.module.scss", "SCSS", -23, 0, 0, -3, -26
"d:\Code\PythonMassScanner\WebAppp\frontend\pages\posts\first-post.js", "JavaScript", 0, -27, 0, -1, -28
"d:\Code\PythonMassScanner\WebAppp\frontend\pages\scanner.js", "JavaScript", 0, -144, -1, -13, -158
"d:\Code\PythonMassScanner\WebAppp\frontend\pages\scanner.module.scss", "SCSS", -119, 0, -6, -22, -147
"Total", "-", -64, 356, 26, 63, 381
